"Step","fedadagrad_5_compare - train_accuracy","fedadagrad_5_compare - train_accuracy__MIN","fedadagrad_5_compare - train_accuracy__MAX","fedadagrad_4_compare - train_accuracy","fedadagrad_4_compare - train_accuracy__MIN","fedadagrad_4_compare - train_accuracy__MAX","fedadagrad_3_compare - train_accuracy","fedadagrad_3_compare - train_accuracy__MIN","fedadagrad_3_compare - train_accuracy__MAX","fedavg_5_compare - train_accuracy","fedavg_5_compare - train_accuracy__MIN","fedavg_5_compare - train_accuracy__MAX","fedadagrad_2_compare - train_accuracy","fedadagrad_2_compare - train_accuracy__MIN","fedadagrad_2_compare - train_accuracy__MAX","fedadam_5_compare - train_accuracy","fedadam_5_compare - train_accuracy__MIN","fedadam_5_compare - train_accuracy__MAX","fedadagrad_1_compare - train_accuracy","fedadagrad_1_compare - train_accuracy__MIN","fedadagrad_1_compare - train_accuracy__MAX","fedadam_4_compare - train_accuracy","fedadam_4_compare - train_accuracy__MIN","fedadam_4_compare - train_accuracy__MAX","fedadam_3_compare - train_accuracy","fedadam_3_compare - train_accuracy__MIN","fedadam_3_compare - train_accuracy__MAX","afl_5_compare - train_accuracy","afl_5_compare - train_accuracy__MIN","afl_5_compare - train_accuracy__MAX"
"21","0.5235578312755502","0.5235578312755502","0.5235578312755502","0.3753354673909529","0.3753354673909529","0.3753354673909529","0.3975761772853186","0.3975761772853186","0.3975761772853186","0.9407853986868728","0.9407853986868728","0.9407853986868728","0.579583897158322","0.579583897158322","0.579583897158322","0.9745220299789404","0.9745220299789404","0.9745220299789404","0.20085513590552784","0.20085513590552784","0.20085513590552784","0.9693471723736541","0.9693471723736541","0.9693471723736541","0.9810249307479224","0.9810249307479224","0.9810249307479224","","",""
"22","0.4272767300212813","0.4272767300212813","0.4272767300212813","0.2667744208214182","0.2667744208214182","0.2667744208214182","0.3877661939819161","0.3877661939819161","0.3877661939819161","0.877412489909738","0.877412489909738","0.877412489909738","0.5292621684264743","0.5292621684264743","0.5292621684264743","0.9689953768254201","0.9689953768254201","0.9689953768254201","0.4952432045779685","0.4952432045779685","0.4952432045779685","0.9779932860872809","0.9779932860872809","0.9779932860872809","0.9764810514353476","0.9764810514353476","0.9764810514353476","0.9084999525854297","0.9084999525854297","0.9084999525854297"
"23","0.46115493846639316","0.46115493846639316","0.46115493846639316","0.7123439486293556","0.7123439486293556","0.7123439486293556","0.6368659841786878","0.6368659841786878","0.6368659841786878","0.9570211423161881","0.9570211423161881","0.9570211423161881","0.49038565215828633","0.49038565215828633","0.49038565215828633","0.9776585673714105","0.9776585673714105","0.9776585673714105","0.5312234001392866","0.5312234001392866","0.5312234001392866","0.9785846996316698","0.9785846996316698","0.9785846996316698","0.9762680316426244","0.9762680316426244","0.9762680316426244","0.8286144359922657","0.8286144359922657","0.8286144359922657"
"24","0.6872910715371057","0.6872910715371057","0.6872910715371057","0.49719610042274176","0.49719610042274176","0.49719610042274176","0.5805735671700248","0.5805735671700248","0.5805735671700248","0.9534127514738954","0.9534127514738954","0.9534127514738954","0.2657788944723618","0.2657788944723618","0.2657788944723618","0.9804291010757916","0.9804291010757916","0.9804291010757916","0.5521879483500718","0.5521879483500718","0.5521879483500718","0.9758433267190061","0.9758433267190061","0.9758433267190061","0.9827233561077505","0.9827233561077505","0.9827233561077505","0.9310681669037757","0.9310681669037757","0.9310681669037757"
"25","","","","0.37466261808367074","0.37466261808367074","0.37466261808367074","0.28768346664595795","0.28768346664595795","0.28768346664595795","0.9392438563327032","0.9392438563327032","0.9392438563327032","0.3583705873285032","0.3583705873285032","0.3583705873285032","0.9809073724007561","0.9809073724007561","0.9809073724007561","0.16224201421598014","0.16224201421598014","0.16224201421598014","0.9776484480431848","0.9776484480431848","0.9776484480431848","0.9836141958530714","0.9836141958530714","0.9836141958530714","0.927010516569436","0.927010516569436","0.927010516569436"
"26","","","","0.34362576920982413","0.34362576920982413","0.34362576920982413","0.051385938040417016","0.051385938040417016","0.051385938040417016","0.9334162769745592","0.9334162769745592","0.9334162769745592","0.8905412751417255","0.8905412751417255","0.8905412751417255","0.9740872624308207","0.9740872624308207","0.9740872624308207","0.15566219378536097","0.15566219378536097","0.15566219378536097","0.9632413004411043","0.9632413004411043","0.9632413004411043","0.9758881367656504","0.9758881367656504","0.9758881367656504","0.9206166829230868","0.9206166829230868","0.9206166829230868"
"27","","","","0.39357057300722537","0.39357057300722537","0.39357057300722537","0.238438930019718","0.238438930019718","0.238438930019718","0.9237992930903043","0.9237992930903043","0.9237992930903043","0.6818942747665637","0.6818942747665637","0.6818942747665637","0.9779610506618616","0.9779610506618616","0.9779610506618616","0","0","0","0.9694756771376686","0.9694756771376686","0.9694756771376686","0.983407120800625","0.983407120800625","0.983407120800625","0.9132710996451882","0.9132710996451882","0.9132710996451882"
"28","","","","0.008773446278848646","0.008773446278848646","0.008773446278848646","0.4418938307030129","0.4418938307030129","0.4418938307030129","0.9595085066162571","0.9595085066162571","0.9595085066162571","0.7537267208985423","0.7537267208985423","0.7537267208985423","0.9875614366729679","0.9875614366729679","0.9875614366729679","0.30509918127369634","0.30509918127369634","0.30509918127369634","0.9677586653989109","0.9677586653989109","0.9677586653989109","0.9772596843615495","0.9772596843615495","0.9772596843615495","0.8393845710654807","0.8393845710654807","0.8393845710654807"
"29","","","","0.3917708305805872","0.3917708305805872","0.3917708305805872","0.37960339943342775","0.37960339943342775","0.37960339943342775","0.9488512730663803","0.9488512730663803","0.9488512730663803","0.4088176352705411","0.4088176352705411","0.4088176352705411","0.9818860033345579","0.9818860033345579","0.9818860033345579","0.2418845599730252","0.2418845599730252","0.2418845599730252","0.9766919478872123","0.9766919478872123","0.9766919478872123","0.9769508112284316","0.9769508112284316","0.9769508112284316","0.9412656077387446","0.9412656077387446","0.9412656077387446"
"30","","","","0.6616703032602852","0.6616703032602852","0.6616703032602852","0.46721158337225593","0.46721158337225593","0.46721158337225593","0.9316166592028661","0.9316166592028661","0.9316166592028661","0.7840265258820499","0.7840265258820499","0.7840265258820499","0.9733094491715182","0.9733094491715182","0.9733094491715182","0","0","0","0.9838092527590677","0.9838092527590677","0.9838092527590677","0.9815039701074264","0.9815039701074264","0.9815039701074264","0.9292127164448173","0.9292127164448173","0.9292127164448173"
